Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"jason pominville twitter","22","22","10","77.60","0.00","https://galeascience.wordpress.com/2016/06/23/player-popularity-the-2016-nhl-playoffs-on-twitter/","0.00","0.00","0.00","59000","0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00","1468453426"
"metropolis monte carlo","22","22","110","82.27","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","595000","0.82,1.00,0.53,0.41,0.53,0.41,0.41,0.65,0.82,0.53,0.41,0.82","1467906026"
"pandas numpy","28","0","20","0.00","0.00","https://galeascience.wordpress.com/2016/08/10/top-10-pandas-numpy-and-scipy-functions-on-github/","0.00","0.00","0.01","357000","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.56,0.56,1.00","1474377507"
"numpy functions","29","0","260","74.50","0.00","https://galeascience.wordpress.com/2016/08/10/top-10-pandas-numpy-and-scipy-functions-on-github/","0.00","0.00","0.00","399000","0.66,0.66,0.44,0.66,0.66,0.66,0.81,1.00,0.81,0.66,0.81,1.00","1474453895"
"monte carlo example","29","29","50","71.03","1.13","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.09","53600000","1.00,1.00,1.00,0.57,0.43,0.43,0.71,0.71,0.57,0.71,1.00,1.00","1469674301"
"cities dictionary","30","22","10","91.41","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.00","22500000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1474867560"
"markov chain monte carlo sampling","31","24","10","80.37","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","473000","0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50","1474822710"
"markov chain montecarlo","32","32","10","82.84","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","636000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468143034"
"monte carlo sample","34","34","10","77.02","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.06","36000000","0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,1.00","1468180020"
"markov chain algorithm","35","35","70","72.68","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","1140000","0.44,0.78,0.78,0.56,0.78,0.44,0.56,1.00,0.78,0.78,0.56,0.56","1469623423"
"john tavares twitter","36","36","110","94.06","0.00","https://galeascience.wordpress.com/2016/06/23/player-popularity-the-2016-nhl-playoffs-on-twitter/","0.00","0.00","0.00","1990000","0.52,1.00,0.33,0.43,0.33,0.52,0.52,0.52,0.67,0.33,0.33,0.33","1467897920"
"93.5 top 20","37","49","10","50.23","0.00","https://galeascience.wordpress.com/2016/08/10/top-10-pandas-numpy-and-scipy-functions-on-github/","0.00","0.00","0.00","16000000","1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00","1474853146"
"claude giroux twitter","38","38","110","87.78","0.00","https://galeascience.wordpress.com/2016/06/23/player-popularity-the-2016-nhl-playoffs-on-twitter/","0.00","0.00","0.00","2740000","0.82,0.65,1.00,0.82,0.53,0.65,0.65,0.82,0.41,0.65,0.82,0.65","1467903642"
"states dictionary","41","0","30","90.91","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.00","88300000","1.00,0.80,0.60,0.20,0.40,0.40,0.80,0.60,0.40,0.40,0.40,0.40","1474300483"
"markov chain monte carlo","41","34","1900","82.56","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","598000","0.79,0.79,0.67,0.67,0.67,0.67,0.67,1.00,1.00,0.67,0.67,0.79","1474388313"
"monte carlo markov chain","43","38","260","81.96","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","1100000","0.66,1.00,0.81,0.66,0.53,0.53,0.66,1.00,1.00,0.66,0.66,1.00","1474446362"
"numpy where function","43","41","10","0.00","0.00","https://galeascience.wordpress.com/2016/08/10/top-10-pandas-numpy-and-scipy-functions-on-github/","0.00","0.00","0.00","400000","1.00,0.50,0.50,0.50,1.00,0.50,0.50,1.00,0.50,0.50,0.50,0.50","1475028441"
"markov monte carlo","44","44","30","81.96","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","2760000","0.80,1.00,0.80,0.60,0.60,0.40,0.60,0.40,0.40,0.60,0.40,1.00","1470341912"
"esophagus cancer color","44","44","50","82.76","0.67","https://galeascience.wordpress.com/2016/05/05/linear-models-for-predicting-esophagus-cancer-likelihood/","0.00","0.00","0.99","214000","0.44,0.78,0.44,0.22,0.33,0.44,0.44,1.00,0.33,0.33,0.44,0.78","1469691442"
"esophagus model","44","44","40","77.04","0.00","https://galeascience.wordpress.com/2016/05/05/linear-models-for-predicting-esophagus-cancer-likelihood/","0.00","0.00","0.12","725000","0.57,1.00,0.71,0.57,0.29,0.29,0.14,0.71,1.00,0.71,0.43,0.29","1469869769"
"playoff generator","45","15","390","80.09","0.00","https://galeascience.wordpress.com/2016/04/18/winloss-streaks-as-a-generator-of-nhl-playoff-predictions/","0.00","0.00","0.00","377000","0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.02,0.17,1.00,0.25,0.01","1474423957"
"american city name","45","45","10","87.19","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.10","635000000","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00","1468138284"
"sidney crosby twitter","46","46","140","85.56","0.00","https://galeascience.wordpress.com/2016/06/23/player-popularity-the-2016-nhl-playoffs-on-twitter/","0.00","0.00","0.00","714000","0.81,1.00,0.65,0.81,0.65,0.42,0.35,0.42,0.35,0.54,0.54,0.54","1467942802"
"linear regression dataset","48","0","30","79.60","0.00","https://galeascience.wordpress.com/2016/09/11/bayesian-linear-regression-on-the-swiss-dataset/","0.00","0.00","0.00","1840000","0.43,0.57,0.29,0.29,0.14,0.29,0.29,0.43,1.00,0.29,0.29,0.57","1474628838"
"city dictionary","48","48","50","88.38","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.05","8840000","0.57,0.71,0.71,0.57,0.43,0.43,1.00,0.71,0.71,0.71,0.71,0.71","1469777037"
"dictionary state","50","0","20","91.67","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.00","112000000","1.00,0.50,0.50,1.00,0.50,0.50,1.00,1.00,0.50,0.50,0.50,1.00","1474353927"
"mcmc markov","50","50","10","79.94","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","474000","0.50,1.00,0.50,0.50,1.00,0.50,0.50,1.00,1.00,0.50,0.50,0.50","1468658852"
"approximating pi","53","53","50","80.07","0.00","https://galeascience.wordpress.com/2016/03/02/approximating-pi-with-monte-carlo-simulations/","0.00","0.00","0.01","527000","1.00,0.50,0.29,0.29,0.21,0.21,0.36,0.29,0.29,0.21,0.29,0.36","1469746903"
"monte carlo markov","55","26","10","82.03","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","2440000","1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00","1474807121"
"markov chain monte carlo algorithm","55","55","10","80.66","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","642000","0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,0.50,1.00","1468456493"
"us city names list","57","0","20","81.12","0.07","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.12","0","0.25,0.25,0.50,0.50,1.00,0.25,0.25,0.25,0.75,0.75,0.75,0.50","1474350345"
"define pegboard","61","56","20","80.81","0.00","https://galeascience.wordpress.com/2016/03/11/galtons-peg-board-and-the-central-limit-theorem/","0.00","0.00","0.01","225000","0.50,0.50,0.25,0.25,0.25,0.25,0.25,1.00,0.50,0.25,0.50,0.25","1474756973"
"galton board","61","59","210","78.33","0.18","https://galeascience.wordpress.com/2016/03/11/galtons-peg-board-and-the-central-limit-theorem/","0.00","0.00","0.19","303000","1.00,0.81,0.81,0.54,0.54,0.54,0.81,0.81,1.00,0.81,0.65,1.00","1474484021"
"pegboard and pegs","63","38","20","78.50","1.54","https://galeascience.wordpress.com/2016/03/11/galtons-peg-board-and-the-central-limit-theorem/","0.00","0.00","1.00","1410000","0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.50,0.75,1.00,0.50","1474329886"
"markov chain monte carlo mcmc","64","31","10","80.11","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","535000","0.50,1.00,0.50,0.50,0.50,0.50,0.50,1.00,1.00,0.50,0.50,1.00","1474975469"
"data set for linear regression","66","0","30","74.92","0.00","https://galeascience.wordpress.com/2016/09/11/bayesian-linear-regression-on-the-swiss-dataset/","0.00","0.00","0.09","4200000","0.43,1.00,0.57,0.14,0.14,0.14,0.71,0.57,0.71,0.57,0.29,0.43","1474667897"
"monte carlo markov chains","66","32","10","80.29","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.00","547000","0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50","1474976814"
"esophageal cancer color","66","66","110","80.59","0.92","https://galeascience.wordpress.com/2016/05/05/linear-models-for-predicting-esophagus-cancer-likelihood/","0.00","0.00","0.99","430000","0.52,1.00,0.67,0.43,0.43,0.33,0.52,1.00,0.52,0.33,0.33,0.43","1467839277"
"monte carlo chain","69","33","10","81.50","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.03","22500000","0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50","1474782930"
"list of us city names","74","86","20","81.93","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.01","0","0.67,0.67,0.67,0.67,1.00,0.67,0.33,0.67,0.33,0.67,0.67,1.00","1474771760"
"the script twitter","81","81","110","89.44","0.00","https://galeascience.wordpress.com/2016/03/18/collecting-twitter-data-with-python/","0.00","0.00","0.00","75200000","0.34,0.34,0.53,1.00,0.34,0.28,0.28,0.09,0.12,0.34,0.28,0.28","1467984356"
"python chain","86","34","170","0.00","0.00","https://galeascience.wordpress.com/2016/04/27/markov-chain-monte-carlo-sampling/","0.00","0.00","0.02","13900000","1.00,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,1.00,1.00","1474633464"
"list of us cities and states","89","83","10","80.25","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.20","0","1.00,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,0.50,0.50","1475021197"
"longitude dictionary","89","89","10","0.00","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.00","455000","0.33,0.33,0.33,0.33,0.33,1.00,1.00,0.33,0.67,0.33,0.33,0.33","1467683923"
"american python","97","97","40","79.19","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.01","20100000","0.60,1.00,0.80,1.00,0.80,0.80,0.80,0.60,0.60,0.40,0.40,0.60","1469891860"
"dictionary usa","99","0","20","84.02","0.00","https://galeascience.wordpress.com/2016/03/23/us-city-to-state-python-dictionary/","0.00","0.00","0.06","48900000","0.60,0.20,0.20,0.20,0.40,0.20,1.00,0.40,0.60,0.40,0.60,0.60","1474679522"